,Player ID,Player,Total Runs Scored,Batting Avg,Batting Strike Rate,Total Centuries,Total Half Centuries,4s,6s,Total Wickets Taken,Best Bowling Figures,Bowling Avg,Best Economy Rate,Bowling Strike Rate,Total Matches Played,Total Dismissals Made,Total Catches Taken,Total Stumpings Made,Batting Hand,Bowling Arm,Bowling Style
33,33,PA Patel,736,23.74,76.5,0,4,79,7,-,-,-,-,-,38.0,39.0,30.0,9.0,Left Hand,Right Arm,Spin Bowler
34,34,R Ashwin,707,16.44,86.96,0,1,60,7,156,4/25,33.2,4.93,40.4,116.0,31.0,31.0,0.0,Right Hand,Right Arm,Spin Bowler
35,35,MK Pandey,566,33.29,90.56,1,2,45,5,-,-,-,-,-,29.0,10.0,10.0,0.0,Right Hand,Right Arm,Pace Bowler
36,36,B Kumar,552,14.15,73.89,0,1,46,8,141,5/42,35.11,5.08,41.4,121.0,29.0,29.0,0.0,Right Hand,Right Arm,Pace Bowler
37,37,RR Singh,543,22.62,61.56,0,2,32,2,6,2/37,82.00,4.83,101.6,30.0,8.0,8.0,0.0,Left Hand,Right Arm,Pace Bowler
38,38,SV Samson,510,56.66,99.6,1,3,34,22,-,-,-,-,-,16.0,11.0,9.0,2.0,Right Hand,Unknown Arm,Mixed
39,39,AR Patel,489,18.8,97.99,0,2,21,24,60,3/24,32.86,4.53,43.4,57.0,23.0,23.0,0.0,Left Hand,Left Arm,Spin Bowler
40,40,M Vijay,339,21.18,66.99,0,1,33,3,1,1/19,37.00,6.16,36.0,17.0,9.0,9.0,0.0,Right Hand,Right Arm,Spin Bowler
41,41,A Kumble,337,10.87,53.92,0,0,17,1,90,4/32,38.21,4.58,49.9,85.0,18.0,18.0,0.0,Right Hand,Right Arm,Spin Bowler
42,42,SN Thakur,329,17.31,105.11,0,1,31,9,65,4/37,30.98,6.22,29.8,47.0,9.0,9.0,0.0,Right Hand,Right Arm,Pace Bowler
43,43,A Jadeja,315,39.37,69.07,0,2,22,8,0,-,-,12.00,-,11.0,3.0,3.0,0.0,Right Hand,Right Arm,Pace Bowler
44,44,P Kumar,292,13.9,88.21,0,1,25,7,77,4/31,36.02,5.13,42.1,68.0,11.0,11.0,0.0,Right Hand,Right Arm,Pace Bowler
45,45,MK Tiwary,287,26.09,71.21,1,1,24,3,5,4/61,30.00,6.81,26.4,12.0,4.0,4.0,0.0,Right Hand,Right Arm,Spin Bowler
46,46,RS Sodhi,280,25.45,73.49,0,2,16,6,5,2/31,73.00,4.74,92.4,18.0,9.0,9.0,0.0,Right Hand,Right Arm,Pace Bowler
47,47,M Azharuddin,268,26.8,62.76,0,1,25,1,-,-,-,-,-,11.0,3.0,3.0,0.0,Right Hand,Right Arm,Pace Bowler
48,48,Washington Sundar,265,26.5,85.2,0,1,20,7,18,3/30,28.94,4.91,35.3,19.0,4.0,4.0,0.0,Left Hand,Right Arm,Spin Bowler
49,49,SS Dighe,256,23.27,60.8,0,1,11,2,-,-,-,-,-,23.0,24.0,19.0,5.0,Right Hand,Unknown Arm,Mixed
50,50,STR Binny,230,28.75,93.49,0,1,23,5,20,6/4,21.95,5.37,24.5,14.0,3.0,3.0,0.0,Right Hand,Right Arm,Pace Bowler
51,51,V Shankar,223,31.85,90.65,0,0,20,4,4,2/15,52.50,5.4,58.2,12.0,7.0,7.0,0.0,Right Hand,Right Arm,Pace Bowler
52,52,Mohammed Shami,220,7.85,83.01,0,0,17,9,195,7/57,23.68,5.55,25.5,101.0,31.0,31.0,0.0,Right Hand,Right Arm,Pace Bowler
53,53,Y Venugopal Rao,218,24.22,60.05,0,1,16,3,-,-,-,-,-,16.0,6.0,6.0,0.0,Right Hand,Right Arm,Spin Bowler
54,54,V Dahiya,216,16.61,80.89,0,1,18,3,-,-,-,-,-,19.0,24.0,19.0,5.0,Right Hand,Unknown Arm,Mixed
55,55,DL Chahar,203,33.83,98.06,0,2,17,8,16,3/27,30.56,5.75,31.8,13.0,1.0,1.0,0.0,Right Hand,Right Arm,Pace Bowler
